Ticket Price,Year
0.07,1910
0.07,1911
0.07,1912
0.07,1913
0.07,1914
0.07,1915
0.07,1916
0.07,1917
0.07,1918
0.07,1919
0.07,1920
0.07,1921
0.07,1922
0.07,1923
0.25,1924
0.25,1925
0.25,1926
0.25,1927
0.25,1928
0.35,1929
0.35,1930
0.35,1931
0.35,1932
0.35,1933
0.23,1934
0.24,1935
0.25,1936
0.25,1937
0.25,1938
0.23,1939
0.24,1940
0.25,1941
0.27,1942
0.29,1943
0.32,1944
0.35,1945
0.35,1946
0.35,1947
0.4,1948
0.46,1949
0.46,1950
0.53,1951
0.53,1952
0.6,1953
0.45,1954
0.45,1955
0.5,1956
0.5,1957
0.5,1958
0.51,1959
0.51,1960
0.69,1961
0.7,1962
0.85,1963
0.93,1964
1.01,1965
1.09,1966
1.2,1967
1.31,1968
1.42,1969
1.55,1970
1.65,1971
1.7,1972
1.77,1973
1.87,1974
2.05,1975
2.13,1976
2.23,1977
2.34,1978
2.51,1979
2.69,1980
2.78,1981
2.94,1982
3.15,1983
3.36,1984
3.55,1985
3.71,1986
3.91,1987
4.11,1988
3.97,1989
4.23,1990
4.21,1991
4.15,1992
4.14,1993
4.18,1994
4.35,1995
4.42,1996
4.59,1997
4.69,1998
5.08,1999
5.39,2000
5.66,2001
5.81,2002
6.03,2003
6.21,2004
6.41,2005
6.55,2006
6.88,2007
7.18,2008
7.5,2009
7.89,2010
7.93,2011
7.92,2012
8.13,2013
8.17,2014
8.43,2015
8.65,2016
8.97,2017
9.11,2018
9.16,2019
9.41,2020
10.4,2021
10.45,2022
10.45,2023
